[2024-09-02 10:07:53,178: INFO: main: Welcome to our custom log]
[2024-09-04 12:27:29,720: INFO: main: Welcome to our custom log]
[2024-09-04 21:38:58,810: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 21:38:58,907: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 08:52:01,765: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 08:52:01,786: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 08:52:26,504: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 08:52:26,508: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 09:01:28,955: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 09:01:28,976: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 09:02:31,194: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 09:02:31,198: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 09:03:08,983: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 09:03:08,988: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 09:09:43,169: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 09:09:43,178: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 09:09:43,178: INFO: common: created directory at: artifacts/]
[2024-09-05 09:10:14,273: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 09:10:14,279: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 09:10:14,282: INFO: common: created directory at: artifacts/]
[2024-09-05 09:10:14,285: INFO: common: created directory at: artifacts/dataIngestion/]
[2024-09-05 09:10:14,288: INFO: 2801090120: Downloading data from https://drive.google.com/uc?export=download&id=1lFVGDILzcfEG5yEgdIgPdoC0zyJpoWZp into file artifacts/dataIngestion/data.zip]
[2024-09-05 09:16:24,438: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 09:16:24,439: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 09:16:24,444: INFO: common: created directory at: artifacts/]
[2024-09-05 09:16:24,447: INFO: common: created directory at: artifacts/dataIngestion/]
[2024-09-05 09:16:24,451: INFO: 2801090120: Downloading data from source_URL = "https://drive.google.com/uc?export=download&id=1lFVGDILzcfEG5yEgdIgPdoC0zyJpoWZp" into file artifacts/dataIngestion/data.zip]
